address,path_station,path_dist_mi,hblr_station,hblr_dist_mi,transit_station,transit_dist_mi
10 PATERSON AVE,Newport,0.814,Pavonia/Newport,0.775,Pavonia/Newport,0.775
100 CLINTON ST,Hoboken,0.59,Pavonia/Newport,0.743,Hoboken,0.59
100 GARDEN ST,Hoboken,0.441,Pavonia/Newport,0.705,Hoboken,0.441
100 PARK AVE,Hoboken,0.491,Pavonia/Newport,0.715,Hoboken,0.491
100 PATERSON AVE,Newport,0.928,Pavonia/Newport,0.889,Pavonia/Newport,0.889
1000 HUDSON ST,Hoboken,0.897,Port Imperial,0.205,Port Imperial,0.205
1000 MAXWELL LANE,Hoboken,0.927,Port Imperial,0.145,Port Imperial,0.145
1001 CLINTON ST,Hoboken,1.013,Port Imperial,0.425,Port Imperial,0.425
1002 WASHINGTON ST,Hoboken,0.91,Port Imperial,0.244,Port Imperial,0.244
1003 GARDEN ST,Hoboken,0.941,Port Imperial,0.299,Port Imperial,0.299
1004 WILLOW AVE,Hoboken,1.001,Port Imperial,0.389,Port Imperial,0.389
1006 GARDEN ST,Hoboken,0.954,Port Imperial,0.301,Port Imperial,0.301
1007 WILLOW AVE,Hoboken,0.998,Port Imperial,0.376,Port Imperial,0.376
1008 WILLOW AVE,Hoboken,1.009,Port Imperial,0.385,Port Imperial,0.385
1009 WILLOW AVE,Hoboken,1.002,Port Imperial,0.373,Port Imperial,0.373
101 PARK AVE,Hoboken,0.477,Pavonia/Newport,0.711,Hoboken,0.477
101 WILLOW AVE,Hoboken,0.526,Pavonia/Newport,0.724,Hoboken,0.526
1010 WASHINGTON ST,Hoboken,0.929,Port Imperial,0.231,Port Imperial,0.231
1010 WILLOW AVE,Hoboken,1.013,Port Imperial,0.383,Port Imperial,0.383
1011 PARK AVE,Hoboken,0.981,Port Imperial,0.329,Port Imperial,0.329
1011 WILLOW AVE,Hoboken,1.006,Port Imperial,0.371,Port Imperial,0.371
1012 PARK AVE,Hoboken,0.991,Port Imperial,0.337,Port Imperial,0.337
1012 WASHINGTON ST,Hoboken,0.932,Port Imperial,0.226,Port Imperial,0.226
1013 PARK AVE,Hoboken,0.985,Port Imperial,0.327,Port Imperial,0.327
1015 GRAND ST,Hoboken,1.069,Port Imperial,0.458,Port Imperial,0.458
1015 WASHINGTON ST,Hoboken,0.919,Port Imperial,0.206,Port Imperial,0.206
1016 WASHINGTON ST,Hoboken,0.942,Port Imperial,0.22,Port Imperial,0.22
1016 WILLOW AVE,Hoboken,1.025,Port Imperial,0.377,Port Imperial,0.377
102 JEFFERSON ST,Hoboken,0.74,Pavonia/Newport,0.813,Hoboken,0.74
102 PARK AVE,Hoboken,0.496,Pavonia/Newport,0.72,Hoboken,0.496
1021 GRAND ST,Hoboken,1.08,Port Imperial,0.453,Port Imperial,0.453
1022 HUDSON ST,Hoboken,0.929,Port Imperial,0.174,Port Imperial,0.174
1023 CLINTON ST,Hoboken,1.056,Port Imperial,0.405,Port Imperial,0.405
1023 WASHINGTON ST,Hoboken,0.934,Port Imperial,0.197,Port Imperial,0.197
1023 WILLOW AVE,Hoboken,1.03,Port Imperial,0.359,Port Imperial,0.359
1024 ADAMS ST,Hoboken,1.111,Port Imperial,0.515,Port Imperial,0.515
1025 MAXWELL LANE,Hoboken,0.995,Port Imperial,0.075,Port Imperial,0.075
1025 WASHINGTON ST,Hoboken,0.937,Port Imperial,0.193,Port Imperial,0.193
1026 CLINTON ST,Hoboken,1.07,Port Imperial,0.414,Port Imperial,0.414
1026 WASHINGTON ST,Hoboken,0.958,Port Imperial,0.208,Port Imperial,0.208
1027 WASHINGTON ST,Hoboken,0.941,Port Imperial,0.19,Port Imperial,0.19
1028 HUDSON ST,Hoboken,0.944,Port Imperial,0.162,Port Imperial,0.162
103 9TH ST,Hoboken,0.809,Port Imperial,0.332,Port Imperial,0.332
1030 HUDSON ST,Hoboken,0.95,Port Imperial,0.158,Port Imperial,0.158
1030 WILLOW AVE,Hoboken,1.053,Port Imperial,0.365,Port Imperial,0.365
1031 PARK AVE,Hoboken,1.023,Port Imperial,0.307,Port Imperial,0.307
1031 WASHINGTON ST,Hoboken,0.949,Port Imperial,0.184,Port Imperial,0.184
1032 WILLOW AVE,Hoboken,1.014,Port Imperial,0.381,Port Imperial,0.381
1033 WASHINGTON ST,Hoboken,0.953,Port Imperial,0.181,Port Imperial,0.181
1034 CLINTON ST,Hoboken,1.042,Port Imperial,0.424,Port Imperial,0.424
1034 GARDEN ST,Hoboken,0.967,Port Imperial,0.292,Port Imperial,0.292
1037 PARK AVE,Hoboken,0.986,Port Imperial,0.326,Port Imperial,0.326
104 6TH ST,Hoboken,0.593,Port Imperial,0.577,Port Imperial,0.577
106 GARDEN ST,Hoboken,0.442,Pavonia/Newport,0.716,Hoboken,0.442
107 HARRISON ST,Hoboken,0.928,Pavonia/Newport,0.921,Pavonia/Newport,0.921
108 14TH ST,Hoboken,1.217,Port Imperial,0.208,Port Imperial,0.208
108 JACKSON ST,Hoboken,0.889,Pavonia/Newport,0.898,Hoboken,0.889
108 JEFFERSON ST,Hoboken,0.741,Pavonia/Newport,0.825,Hoboken,0.741
108 MADISON ST,Hoboken,0.789,Pavonia/Newport,0.84,Hoboken,0.789
108 WILLOW AVE,Hoboken,0.537,Pavonia/Newport,0.733,Hoboken,0.537
109 2ND ST,Hoboken,0.388,Pavonia/Newport,0.773,Hoboken,0.388
109 GRAND ST,Hoboken,0.628,Pavonia/Newport,0.763,Hoboken,0.628
