block,n_sales,years_covered,cagr_price_per_sqft,median_price_per_sqft,median_dom,dom_trend,median_sale_to_list,median_assess_ratio,vol_trend,appreciation_score,score_block_cagr,score_dom_trend,score_sale_to_list_ratio,score_assess_delta,score_inventory_trend,block_rank
block_180,6,2022-2024,17.82,1050.0,10.5,-0.9694,1.0088,1.3847,-1.3863,87.0,95.6,88.4,82.1,63.9,97.3,1
block_70_GRAND,17,2022-2026,13.35,1070.0,9,-0.8544,1.0224,1.6664,-0.6061,84.0,89.7,84.2,92.6,78.0,66.8,2
block_268 01_HUDSON,42,2022-2025,8.63,1081.0,9.5,-0.9045,1.0048,,-1.2078,81.7,75.4,86.3,76.3,,95.2,3
block_83_JEFFERSON,6,2022-2025,7.73,1109.0,5.0,-0.6931,1.0297,2.0607,-0.6931,80.2,70.4,78.2,95.6,90.2,72.3,4
block_201_BLOOMFIELD,10,2022-2026,8.36,1003.0,12.0,-0.5596,1.0093,2.3207,-0.8109,79.2,73.7,72.5,83.4,95.2,77.5,5
block_25_HARRISON,8,2022-2025,11.51,911.0,17.0,-1.6094,0.9922,2.1279,-1.0986,76.2,83.0,98.7,20.0,92.5,91.4,6
block_61_ADAMS,11,2022-2026,7.57,931.0,21,-0.8199,1.005,1.4956,-0.9808,75.9,67.4,83.4,77.1,69.3,87.6,7
block_155_CLINTON,14,2022-2025,7.43,1004.0,8.0,-0.5077,1.025,1.8704,-0.6931,75.9,64.3,69.1,94.7,86.6,72.3,8
block_269 03_HUDSON,42,2022-2026,12.14,1513.0,18.5,-0.3873,1.0,1.8067,-1.4469,75.3,85.1,62.8,48.9,83.9,98.9,9
block_8_OBSERVER,23,2022-2025,7.6,791.0,17,-0.5814,1.002,1.9904,-0.8473,74.8,68.1,73.7,72.1,88.4,79.6,10
block_189_BLOOMFIELD,19,2022-2024,16.44,960.0,17,-0.7147,1.0,1.2924,-0.7732,74.2,93.9,79.6,48.9,58.9,76.3,11
block_161_WILLOW,9,2022-2025,13.38,830.0,17,-1.6094,1.0059,0.9909,-0.2231,74.1,90.1,98.7,79.0,38.0,39.1,12
block_186_BLOOMFIELD,7,2022-2025,12.68,1099.0,20,-1.48,1.0,1.0502,-0.9163,73.9,87.2,96.4,48.9,41.1,83.2,13
block_84_7TH,6,2022-2024,6.29,859.0,16.5,-1.0341,1.0052,1.752,-0.6931,73.7,57.4,88.9,78.4,81.6,72.3,14
block_152_CLINTON,8,2022-2025,15.47,1133.0,9.0,-0.2191,1.005,1.2483,-0.5108,71.9,92.4,56.5,77.1,56.1,59.9,15
block_156_GRAND,7,2022-2025,14.67,1111.0,15,-0.4855,0.9909,2.0096,-0.9163,70.7,91.8,67.4,19.1,89.3,83.2,16
block_228_HUDSON,11,2022-2023,20.37,979.0,7,-1.3863,1.0,1.81,0.9808,70.7,96.8,95.2,48.9,84.3,1.1,17
block_166_WILLOW,5,2023-2024,10.08,890.0,10,-0.7916,1.0232,1.4461,0.6931,70.4,81.3,82.6,93.5,67.0,4.8,18
block_261.03_MAXWELL,11,2022-2025,10.33,1361.0,9,-0.7122,1.0,,-0.5596,70.3,81.7,79.2,48.9,,63.9,19
block_51_ADAMS,12,2022-2024,17.85,915.0,13.5,-0.4613,0.9876,1.4997,-1.6094,70.2,96.0,66.6,13.7,69.8,99.4,20
block_27_MONROE,8,2022-2024,12.9,757.0,12.0,-0.619,1.0,1.3016,-0.5108,69.4,88.4,75.8,48.9,59.8,59.9,21
block_269 02_WASHINGTON,25,2022-2026,12.93,1369.0,12,-0.069,1.0,,-0.9445,69.3,89.3,47.9,48.9,,85.1,22
block_219_HUDSON,7,2022-2025,12.77,956.0,7,-1.4289,1.0,1.1381,-0.2877,68.7,87.6,96.0,48.9,46.6,43.1,23
block_20_CLINTON,17,2022-2025,4.24,798.0,9,-0.7985,1.03,1.7315,-0.5232,68.7,38.4,83.0,96.0,80.2,62.4,24
block_26_JACKSON,8,2022-2024,8.02,818.0,19.0,0.0387,1.0385,0.8865,-1.204,68.6,72.5,42.2,98.5,30.2,94.5,25
block_149_9TH,24,2022-2026,8.31,1004.0,8.5,-0.7167,1.0,1.1467,-1.0986,68.6,73.3,80.0,48.9,47.5,91.4,26
block_261.04_MAXWELL,8,2021-2024,8.14,1106.0,20.0,-1.5126,0.9877,,-1.0986,68.0,72.9,96.8,14.1,,91.4,27
block_115_GRAND,7,2022-2024,5.85,759.0,20,-0.2007,1.0311,1.348,-0.9163,67.9,52.7,54.8,96.4,62.0,83.2,28
block_160_WILLOW,7,2023-2025,8.62,932.0,8,-0.6931,1.0412,0.6706,-0.4055,67.7,75.0,78.2,99.4,13.0,51.7,29
block_66_JACKSON,9,2021-2022,33.05,768.0,29,-0.5108,1.0135,1.0355,0.6931,67.6,98.9,69.5,86.8,39.3,4.8,30
block_167_WILLOW,10,2022-2025,7.68,823.0,12.0,-1.411,1.0001,0.6753,-0.8473,67.4,70.0,95.6,66.6,13.9,79.6,31
block_176_PARK,8,2022-2026,10.8,967.0,11.5,-1.1971,1.0,2.2623,0.6931,67.4,82.1,90.5,48.9,94.3,4.8,32
block_268 01_WASHINGTON,40,2022-2025,7.66,1161.0,9.5,0.078,1.0154,1.5216,-0.6061,67.2,69.1,39.3,89.3,71.6,66.8,33
block_17_JEFFERSON,16,2022-2026,5.68,841.0,6.5,-0.6144,1.0133,2.0155,-0.2513,67.2,51.1,75.4,86.3,89.8,40.8,34
block_104_ADAMS,13,2022-2025,6.75,943.0,8,-1.2238,1.0,1.5998,-0.47,66.3,61.1,91.8,48.9,74.8,57.1,35
block_34_WILLOW,20,2022-2026,8.64,1089.0,20.5,-0.572,0.9953,1.9308,-0.619,65.9,75.8,73.3,26.3,87.5,67.4,36
block_29_1ST,6,2022-2023,40.37,791.0,21.0,-0.4133,0.9963,,-0.4055,65.8,99.4,64.1,27.9,,51.7,37
block_75_MADISON,9,2022-2025,13.59,1031.0,14,0.1542,1.0091,1.738,0.2877,65.8,90.5,36.8,83.0,80.7,17.0,38
block_177_2ND,6,2022-2025,7.87,1070.0,13.5,0.8267,1.0141,1.9659,-0.6931,65.5,71.4,12.4,87.6,88.0,72.3,39
block_173_PARK,10,2022-2025,7.87,936.0,12.5,-0.3365,1.0059,1.2329,-0.4055,65.4,71.4,61.3,79.0,54.3,51.7,40
block_74_MONROE,13,2022-2026,9.75,1032.0,8,0.2485,1.0424,1.5376,0.0645,64.8,79.6,32.1,99.8,72.5,24.2,41
block_156_CLINTON,23,2022-2026,6.13,954.0,10,-0.8503,1.0,1.6132,-0.6286,64.5,54.8,83.8,48.9,75.2,67.9,42
block_177_PARK,9,2022-2025,6.07,930.0,27,-0.7852,1.0077,1.4465,-0.1823,64.5,54.4,81.7,81.3,67.5,36.1,43
block_28_MONROE,7,2022-2023,28.07,1038.0,9,1.0719,1.0076,0.8252,-0.9808,64.3,98.5,6.9,80.9,26.6,87.6,44
block_58_MONROE,11,2022-2025,12.92,984.0,14,-1.0888,1.0,0.8625,-0.1823,64.1,88.9,89.7,48.9,28.9,36.1,45
