block,block_raw,n_sales,years,est_score,est_rank,cagr,med_psf,med_dom,med_stl,est_s_cagr,est_s_dom,est_s_stl,est_s_assess,est_s_inv,emg_score,emg_rank,med_psf_recent,med_psf_prior,acceleration,underval_pct,dom_recent,dom_prior,stl_recent,n_recent,emg_s_underval,emg_s_accel,emg_s_dom_tight,emg_s_demand,neighborhood_demand,median_income,vacancy_rate_pct,renter_rate_pct,acs_year
block_16_MADISON,16_MADISON,13.0,2022-2026,48.0,130.0,5.15,841.0,12.0,1.0,45.6,34.7,48.7,83.0,34.5,48.1,46,841.0,672.0,25.1,-5.7,28.0,12.0,1.0,3,66.9,64.3,9.3,34.4,,,,,
block_177_PARK,177_PARK,9.0,2022-2025,64.5,42.0,6.07,930.0,27.0,1.0077,54.4,81.7,81.3,67.5,36.1,,,,,,,,,,0,,,,,,,,,
block_26_HARRISON,26_HARRISON,8.0,2022-2024,40.5,178.0,1.54,765.0,10.0,1.005,18.7,2.3,77.1,66.6,60.1,,,,,,,,,,0,,,,,,,,,
block_161_WILLOW,161_WILLOW,9.0,2022-2025,74.1,12.0,13.38,830.0,17.0,1.0059,90.1,98.7,79.0,38.0,39.1,68.2,8,830.0,712.0,16.6,-4.2,4.0,18.0,1.0134,3,70.8,43.5,98.6,70.8,,,,,
block_221_WASHINGTON,221_WASHINGTON,15.0,2022-2026,61.7,56.0,15.47,1110.0,12.0,0.9872,92.4,93.9,12.4,7.0,77.5,,,,,,,,,,0,,,,,,,,,
block_191,191,5.0,2022-2026,56.5,83.0,8.73,1043.0,27.0,0.9946,77.1,98.1,25.0,53.4,4.8,,,,,,,,,,0,,,,,,,,,
block_171_PARK,171_PARK,10.0,2022-2025,54.2,95.0,12.01,1050.0,13.5,1.0,84.7,50.6,48.7,47.0,12.4,49.2,43,1089.0,812.0,34.1,-36.7,13.5,18.0,1.0,4,16.2,87.7,55.7,34.4,,,,,
block_213,213,7.0,2022-2024,47.7,134.0,7.14,868.0,13.0,1.0,63.2,62.4,48.7,0.2,43.1,,,,,,,,,,0,,,,,,,,,
block_16_1ST,16_1ST,5.0,2022-2025,29.1,218.0,2.99,765.0,13.0,1.0,29.8,39.7,48.7,4.3,12.4,,,,,,,,,,0,,,,,,,,,
block_262 03_CONSTITUTION,262 03_CONSTITUTION,18.0,2022-2024,59.2,68.0,12.6,1035.0,10.5,1.0,86.8,51.9,48.7,,27.9,35.9,68,1035.0,863.0,19.9,-29.9,,9.0,,0,21.4,51.3,,34.4,,,,,
block_255_GARDEN,255_GARDEN,13.0,2022-2025,39.8,183.0,2.79,722.0,16.0,0.989,26.7,24.2,15.8,77.5,81.1,,,,,,,,,,0,,,,,,,,,
block_180,180,6.0,2022-2024,87.0,1.0,17.82,1050.0,10.5,1.0088,95.6,88.4,82.1,63.9,97.3,,,,,,,,,,0,,,,,,,,,
block_171_WILLOW,171_WILLOW,14.0,2022-2025,38.7,187.0,4.84,776.0,33.0,0.9824,43.1,25.0,6.5,33.4,96.4,,,,,,,,,,0,,,,,,,,,
block_177_2ND,177_2ND,6.0,2022-2025,65.5,39.0,7.87,1070.0,13.5,1.0141,71.4,12.4,87.6,88.0,72.5,,,,,,,,,,0,,,,,,,,,
block_104_ADAMS,104_ADAMS,13.0,2022-2025,66.2,35.0,6.75,943.0,8.0,1.0,61.1,91.8,48.7,74.8,57.1,,,,,,,,,,0,,,,,,,,,
block_268 01_HUDSON,268 01_HUDSON,42.0,2022-2025,81.7,3.0,8.63,1081.0,9.5,1.0048,75.4,86.3,76.3,,95.2,57.7,23,1250.0,865.0,44.5,-57.0,9.0,10.0,1.0594,3,8.4,94.2,47.1,87.7,,,,,
block_39_2ND,39_2ND,7.0,2024-2025,40.5,179.0,-13.17,925.0,15.0,1.0325,0.2,0.2,96.8,,99.8,20.0,76,1008.0,,0.0,-26.6,,,,0,24.0,6.5,,34.4,,,,,
block_177_GARDEN,177_GARDEN,9.0,2022-2025,34.2,199.0,-5.4,746.0,14.0,1.0,4.0,43.5,48.7,61.1,36.1,,,,,,,,,,0,,,,,,,,,
block_83_MADISON,83_MADISON,13.0,2022-2025,39.3,185.0,-1.06,684.0,7.0,1.0032,9.5,17.9,73.7,39.8,81.1,,,,,,,,,,0,,,,,,,,,
block_114_GRAND,114_GRAND,15.0,2022-2026,53.4,97.0,7.09,1091.0,9.0,1.0221,62.4,5.3,92.2,23.4,77.5,,,,,,,,,,0,,,,,,,,,
block_59,59,6.0,2022-2025,42.8,167.0,7.5,831.0,14.0,0.9761,65.8,3.2,2.7,73.4,72.5,,,,,,,,,,0,,,,,,,,,
block_178_PARK,178_PARK,13.0,2022-2026,53.2,98.0,14.23,1274.0,9.0,1.0,91.0,20.4,48.7,46.1,34.5,49.5,41,1220.0,741.0,64.5,-53.1,6.5,7.5,1.0,2,9.7,98.1,51.4,34.4,,,,,
block_77_JEFFERSON,77_JEFFERSON,13.0,2022-2025,58.5,74.0,12.17,955.0,13.0,1.0,85.5,8.6,48.7,61.6,81.1,41.3,60,955.0,664.0,43.8,-19.9,32.0,7.0,0.9944,3,31.8,92.9,2.1,17.5,,,,,
block_159_CLINTON,159_CLINTON,8.0,2022-2024,45.4,153.0,5.09,838.0,14.5,0.985,45.2,71.6,10.5,43.0,60.1,,,,,,,,,,0,,,,,,,,,
block_243_HUDSON,243_HUDSON,22.0,2022-2025,42.0,173.0,1.01,899.0,13.5,1.0005,16.6,25.8,67.4,83.4,39.1,52.1,34,899.0,784.0,14.7,-12.9,13.0,21.5,1.0145,3,50.0,37.0,72.1,57.8,,,,,
block_66_6TH,66_6TH,5.0,2022-2025,32.0,210.0,4.29,753.0,35.0,1.0,38.9,4.8,48.7,51.6,12.4,,,,,,,,,,0,,,,,,,,,
zip_07030,07030,433.0,2022-2026,49.0,126.0,3.44,883.0,13.0,1.0,33.8,49.8,48.7,93.9,33.8,42.0,58,861.0,770.0,11.8,-8.1,12.0,13.0,1.0,85,59.1,27.9,45.0,34.4,,,,,
block_20_CLINTON,20_CLINTON,17.0,2022-2025,68.7,25.0,4.24,798.0,9.0,1.03,38.0,83.0,96.0,80.2,62.8,,,,,,,,,,0,,,,,,,,,
block_29_1ST,29_1ST,6.0,2022-2023,65.7,38.0,40.37,791.0,21.0,0.9963,99.4,64.1,27.5,,51.7,,,,,,,,,,0,,,,,,,,,
block_85_ADAMS,85_ADAMS,10.0,2022-2026,44.7,157.0,0.3,667.0,12.0,1.0,14.9,68.7,48.7,33.9,77.5,62.9,13,674.0,675.0,-0.1,15.4,10.0,14.0,1.0,3,98.1,4.5,61.4,99.4,,,,,
block_218_WASHINGTON,218_WASHINGTON,9.0,2022-2025,35.0,198.0,3.35,878.0,16.0,1.0,33.0,50.2,48.7,30.7,4.8,59.3,18,878.0,664.0,32.2,-10.3,25.0,17.5,1.0122,2,55.2,83.8,27.9,60.4,,,,,
block_30,30,5.0,2022-2026,19.8,234.0,4.37,820.0,16.0,0.9736,39.3,16.2,2.3,16.1,12.4,,,,,,,,,,0,,,,,,,,,
block_26_JACKSON,26_JACKSON,8.0,2022-2024,68.7,23.0,8.02,818.0,19.0,1.0385,72.5,42.6,98.5,30.2,94.5,,,,,,,,,,0,,,,,,,,,
block_43_WILLOW,43_WILLOW,15.0,2022-2025,51.8,105.0,2.86,817.0,13.0,1.0,27.1,91.0,48.7,6.6,98.3,,,,,,,,,,0,,,,,,,,,
block_13_1ST,13_1ST,13.0,2022-2026,52.3,101.0,3.46,807.0,14.0,1.0001,34.2,56.1,66.6,52.5,64.3,,,,,,,,,,0,,,,,,,,,
block_214 01_HUDSON,214 01_HUDSON,6.0,2022-2023,45.1,155.0,-3.09,857.0,14.0,1.0,4.8,94.7,48.7,72.0,27.9,,,,,,,,,,0,,,,,,,,,
block_169_WILLOW,169_WILLOW,12.0,2022-2025,51.1,111.0,-0.4,712.0,14.5,1.0041,12.4,85.1,75.4,25.9,75.8,,,,,,,,,,0,,,,,,,,,
block_269.02_WASHINGTON,269.02_WASHINGTON,5.0,2021-2022,43.7,162.0,5.25,969.0,52.0,0.9668,46.2,27.9,1.1,63.0,97.3,,,,,,,,,,0,,,,,,,,,
block_18,18,8.0,2022-2025,43.0,166.0,7.6,836.0,10.0,1.0,68.1,44.7,48.7,3.0,22.9,,,,,,,,,,0,,,,,,,,,
block_34_PARK,34_PARK,8.0,2023-2026,39.9,181.0,-1.39,815.0,11.5,0.9925,8.2,77.1,21.2,95.7,22.9,45.5,53,815.0,709.0,14.9,-2.4,9.0,10.0,0.9849,3,74.7,38.3,47.1,11.0,,,,,
block_165_WILLOW,165_WILLOW,9.0,2022-2025,61.5,59.0,3.91,902.0,35.0,1.0147,36.8,75.0,88.2,98.4,20.2,,,,,,,,,,0,,,,,,,,,
block_11_1ST,11_1ST,10.0,2022-2026,47.7,135.0,6.14,1042.0,40.5,0.9656,55.3,47.3,0.6,,96.0,,,,,,,,,,0,,,,,,,,,
block_215_WASHINGTON,215_WASHINGTON,7.0,2023-2025,47.0,140.0,12.29,962.0,29.0,0.96,86.3,35.5,0.2,75.7,17.0,54.0,29,858.0,662.0,29.7,-7.8,99.0,36.0,1.0,1,61.7,74.7,6.4,59.1,,,,,
block_7_NEWARK,7_NEWARK,15.0,2022-2025,29.3,217.0,2.98,815.0,30.0,0.9964,29.0,33.4,27.9,27.5,27.9,64.5,11,754.0,730.0,3.3,5.4,20.0,30.0,1.0011,3,87.7,9.7,67.9,83.8,,,,,
block_15_MONROE,15_MONROE,25.0,2022-2026,27.1,222.0,-6.94,622.0,14.0,0.9973,1.9,28.8,29.2,68.0,31.3,52.8,33,734.0,755.0,-2.8,7.9,13.0,11.0,1.0252,6,90.3,3.2,30.7,92.9,,,,,
block_245_WASHINGTON,245_WASHINGTON,13.0,2022-2025,50.9,115.0,8.65,919.0,18.0,0.9924,76.3,63.7,20.6,17.5,57.1,,,,,,,,,,0,,,,,,,,,
block_84_7TH,84_7TH,6.0,2022-2024,73.8,13.0,6.29,859.0,16.5,1.0052,57.4,88.9,78.4,81.6,72.5,,,,,,,,,,0,,,,,,,,,
block_109_GRAND,109_GRAND,23.0,2022-2025,49.4,124.0,6.32,981.0,8.0,1.0,57.8,70.0,48.7,45.2,10.3,31.7,74,981.0,886.0,10.7,-23.1,6.0,8.0,1.0,7,27.9,24.0,55.7,24.7,,,,,
