block,lot,qualifier,prop_class,prop_loc,net_value,land_val,impr_val,last_sale,deed_date,yr_built
142,1.01,,4C,2500 WEST ST,1621600,960000,661600,1892500,2018-06-19,1938
142,1.02,,2,518 25TH ST,288100,111500,176600,325000,2022-07-21,1900
142,2,,2,2502 WEST ST,709600,267800,441800,420000,2005-03-22,1893
142,3,,2,2504 WEST ST,824000,267800,556200,575000,2022-04-18,1892
142,4,,2,2506 WEST ST,600600,267800,332800,0,,1897
142,5,,2,2508 WEST ST,633500,262400,371100,350000,2023-07-27,1892
142,6,,2,2510 WEST ST,507900,262400,245500,175000,2018-09-04,1897
161,11,C0202,2,513-515 30TH ST,494800,190600,304200,379000,2019-06-07,2006
161,11,C0203,2,513-515 30TH ST,474900,185900,289000,525000,2024-10-24,2006
161,11,C0301,2,513-515 30TH ST,330600,149600,181000,275000,2022-10-18,2006
161,11,C0302,2,513-515 30TH ST,500800,190600,310200,270000,2011-11-15,2006
161,11,C0303,2,513-515 30TH ST,474900,185900,289000,260000,2015-05-18,2006
161,13,,4C,517 30TH ST,1522100,960000,562100,1200000,2017-07-13,1931
161,14,,4B,521-23 30TH ST,1006000,690000,316000,0,,0
161,16,,4A,527 30TH ST,711300,609500,101800,180000,2005-10-31,1931
161,18,,4C,531 30TH ST,1254900,300000,954900,1,2024-07-31,2012
161,19,,4C,535 30TH ST,2640000,600000,2040000,1425000,2014-11-25,2012
161,21,,2,539 30TH ST,639600,285600,354000,10,2022-11-02,1907
161,22,,2,541 30TH ST,488400,257000,231400,294250,2019-10-08,1912
161,23,,2,543 30TH ST,690400,291200,399200,283000,2001-08-03,1700
161,24,,4C,547 30TH ST,1082400,420000,662400,10,2004-12-31,1931
161,26,,2,2908 CENTRAL AVE,692200,248100,444100,1,2005-04-21,1930
161,27,,2,2906 CENTRAL AVE,319000,166000,153000,425000,2024-03-23,1932
161,28,,2,542 29TH ST,1030000,258800,771200,175000,2014-12-23,2016
161,29,,2,540 29TH ST,887900,220100,667800,0,,2009
161,30,,4C,536-38 29TH ST,3432000,720000,2712000,3026000,2018-06-25,2016
161,32,,4C,534 29TH ST,904500,360000,544500,1025000,2012-04-30,1929
161,33,,4C,532 29TH ST,947000,360000,587000,1025000,2012-04-30,1929
161,34,,2,530 29TH ST,557800,297500,260300,170000,2002-09-09,1931
161,35,,2,528 29TH ST,560100,267800,292300,550000,2023-04-07,1912
161,36,,2,526 29TH ST,556700,260400,296300,1,2015-02-27,1872
161,37,,2,524 29TH ST,534700,293400,241300,100,2005-02-09,1931
161,38,,2,522 29TH ST,528800,260400,268400,1,2007-02-08,1882
161,39,,2,520 29TH ST,522600,229700,292900,75000,1997-09-29,1882
161,40,,2,518 29TH ST,650200,297500,352700,675000,2022-06-28,1912
161,41,,2,516 29TH ST,631300,297500,333800,150000,2012-04-16,1700
161,42,,2,514 29TH ST,621300,264100,357200,1,2005-12-07,1902
161,43,,2,512 29TH ST,626600,271400,355200,81120,1996-01-17,1872
161,44,,2,510 29TH ST,848800,337900,510900,460000,2018-01-25,1700
162,1,,4A,730-32 29TH ST,1145700,448500,697200,1,2013-07-17,0
162,3,,2,728 29TH ST,579300,297500,281800,0,,1920
162,4,,2,726 29TH ST,584400,267800,316600,432000,2005-12-02,1898
162,5,,2,724 29TH ST,510000,267800,242200,1,2012-04-12,1898
162,6,,2,722 29TH ST,560400,267800,292600,10,2016-11-02,1898
162,7,,2,720 29TH ST,514400,262400,252000,0,,1898
162,8,,2,718 29TH ST,547600,285600,262000,0,,1898
162,9,,2,716 29TH ST,732900,257000,475900,185000,2014-10-20,1898
162,10,,2,714 29TH ST,729700,267800,461900,0,2013-10-18,1898
162,11,,2,712 29TH ST,512300,297500,214800,1,2022-07-29,1898
162,12,,4C,710 29TH ST,572600,300000,272600,1,2004-06-07,1893
185,39,C0301,2,286 MOUNTAIN RD,111000,79000,32000,360000,2008-02-19,1913
185,39,C0302,2,286 MOUNTAIN RD,109000,77500,31500,360000,2008-02-19,1913
185,39,C0303,2,286 MOUNTAIN RD,113200,80600,32600,360000,2008-02-19,1913
185,39,C0304,2,286 MOUNTAIN RD,103100,71400,31700,360000,2008-02-19,1913
185,39,C0401,2,286 MOUNTAIN RD,111000,79000,32000,360000,2008-02-19,1913
185,39,C0402,2,286 MOUNTAIN RD,109000,77500,31500,360000,2008-02-19,1913
185,39,C0403,2,286 MOUNTAIN RD,113200,80600,32600,360000,2008-02-19,1913
185,39,C0404,2,286 MOUNTAIN RD,104700,73000,31700,360000,2008-02-19,1913
185,41,,2,292 MOUNTAIN RD FRONT,630800,595800,35000,606000,2023-05-16,0
186,1,,4C,610 PALISADE AVE,2481200,1260000,1221200,1250000,2001-01-31,1969
186,6,,2,702 PALISADE AVE,726300,352100,374200,572000,2021-12-22,1898
186,7,,2,704 PALISADE AVE,697800,352100,345700,735000,2022-08-25,1898
186,8,C0001,2,706 PALISADE AVE,559500,204100,355400,179500,2017-01-04,1900
186,8,C0002,2,706 PALISADE AVE,472300,173900,298400,530000,2020-06-02,1900
186,8,C0003,2,706 PALISADE AVE,519400,189000,330400,538000,2021-08-19,1900
186,8,C0004,2,706 PALISADE AVE,512300,189000,323300,1,2024-10-27,1900
186,9,,2,708 PALISADE AVE,688800,352100,336700,0,,1898
186,10,,2,710 PALISADE AVE,661800,352100,309700,375000,2013-03-07,1913
186,11,,2,712 PALISADE AVE,798600,352100,446500,1,2012-11-16,1898
186,12,,2,714 PALISADE AVE,841400,352100,489300,1400714,2024-05-23,1898
186,13,,2,716-18 PALISADE AVE,950000,522500,427500,1,2020-10-02,1930
186,15,,2,800 PALISADE AVE,924100,498800,425300,950000,2023-03-08,1933
186,17,,2,802 PALISADE AVE,658700,323800,334900,10,2020-01-28,1898
186,18,,2,804 PALISADE AVE,799400,323800,475600,975000,2024-12-12,1898
186,20,,4A,808 PALISADE AVE,464600,456000,8600,1,2019-07-11,0
186,21,,4A,814 PALISADE AVE,305800,300000,5800,1,2019-07-11,0
186,22,C001,2,816 PALISADE AVE,374700,226800,147900,48000,1996-02-06,1913
186,22,C002,2,816 PALISADE AVE,253800,170100,83700,1,2023-08-16,1913
186,22,C003,2,816 PALISADE AVE,260900,170100,90800,135000,2000-09-29,1913
186,23,,2,818 PALISADE AVE,548500,314300,234200,1,2023-10-16,1873
186,24,,2,820 PALISADE AVE,602100,314300,287800,330000,2003-01-15,1873
186,25,,2,822 PALISADE AVE,569600,314300,255300,1,2010-12-14,1873
186,32,,2,910 PALISADE AVE,442000,432000,10000,1500000,2024-12-12,2025
186,33,,2,912 PALISADE AVE,521800,496800,25000,1260000,2024-04-11,2026
186,34,C0001,2,916 PALISADE AVE,457100,217800,239300,130000,2011-06-30,1883
202,5,C1502,2,3312 HUDSON AVE,827700,146500,681200,599000,2010-12-22,2009
202,5,C1503,2,3312 HUDSON AVE,824600,148000,676600,799000,2024-12-18,2009
202,5,C1504,2,3312 HUDSON AVE,839000,149500,689500,234359,2019-03-20,2009
202,5,C1505,2,3312 HUDSON AVE,753500,131400,622100,685000,2019-03-28,2009
202,5,C1506,2,3312 HUDSON AVE,850700,158600,692100,695000,2019-07-19,2009
202,21,C0001,2,3315 PLEASANT AVE,435600,261900,173700,240000,2005-04-22,1930
202,21,C0002,2,3315-19 PLEASANT AVE,496800,301600,195200,80000,1997-06-25,1930
202,21,C0003,2,3315 PLEASANT AVE,217700,133600,84100,155000,2016-03-22,1930
202,21,C0004,2,3315 PLEASANT AVE,270100,155300,114800,144000,2004-06-23,1930
202,21,C0005,2,3315 PLEASANT AVE,275800,158900,116900,141450,2004-03-25,1930
202,21,C0006,2,3315-3319 PLEASANT AVE,301600,175200,126400,230000,2019-06-24,1930
202,21,C0007,2,3315 PLEASANT AVE,312800,182400,130400,170000,2004-12-22,1930
202,21,C0008,2,3315 PLEASANT AVE,217500,121000,96500,116900,2004-06-29,1930
202,21,C0009,2,3315 PLEASANT AVE,301600,175200,126400,316000,2023-12-08,1930
202,21,C0010,2,3315 PLEASANT AVE,270100,155300,114800,195000,2018-07-17,1930
202,21,C0011,2,3315 PLEASANT AVE,249500,148100,101400,135000,2014-05-15,1930
202,21,C0012,2,3315 PLEASANT AVE,220000,122800,97200,0,1995-08-09,1930
202,21,C0014,4A,3315 PLEASANT AVE,203900,155300,48600,10,2004-01-12,1930
202,21,C0101,2,3315 OPLEASANT AVE,178400,90300,88100,140000,2007-07-31,1930
202,21,C0102,2,3315 PLEASANT AVE,271700,148100,123600,207550,2020-01-27,1930
202,21,C0103,2,3315 PLEASANT AVE,227100,133600,93500,122600,2004-02-12,1930
202,21,C0104,2,3315 PLEASANT AVE,181100,102900,78200,1,2019-04-11,1930
202,21,C0105,2,3315 PLEASANT AVE,254700,137300,117400,125725,2004-04-20,1930
202,21,C0106,2,3315 PLEASANT AVE,199200,102900,96300,72000,2014-08-09,1930
202,21,C0107,2,3315 PLEASANT AVE,300100,182400,117700,245000,2021-06-18,1930
202,21,C0108,2,3315-19 PLEASANT AVE,240000,142700,97300,225000,2023-08-17,1930
39.01,7,,2,409 9TH ST,704300,307500,396800,1,2008-02-22,1967
39.01,8,,2,411 9TH ST,777100,307500,469600,1,2013-12-26,1898
39.01,9,C0201,2,413 9TH ST,364100,151500,212600,295000,2021-12-21,2006
39.01,9,C0202,2,413 9TH ST,313400,127700,185700,305000,2022-05-27,2006
39.01,9,C0203,2,413 9TH ST,341900,139600,202300,220000,2017-07-27,2006
39.01,9,C0204,2,413-15 9TH ST,179400,154400,25000,1,2007-06-19,2006
39.01,9,C0301,2,413-15 9TH ST,364100,151500,212600,120000,2016-05-18,2006
39.01,9,C0302,2,413-15 9TH ST,317100,127700,189400,1,2021-11-05,2006
39.01,9,C0303,2,413-15 9TH ST,337900,139600,198300,260000,2019-10-09,2006
39.01,9,C0304,2,413-15 9TH ST,170500,145500,25000,299500,2021-09-07,2006
39.01,9,C0305,2,413-15 9TH ST,96300,71300,25000,1,2024-11-07,2006
39.01,9,C0401,2,413 9TH ST,364100,151500,212600,329000,2020-12-02,2006
39.01,9,C0402,2,413-15 9TH ST,317100,127700,189400,305000,2019-06-28,2006
39.01,9,C0403,2,413-15 9TH ST,337900,139600,198300,1,2009-11-18,2006
39.01,9,C0404,2,413-15 9TH ST,352700,145500,207200,255000,2008-04-09,2006
39.01,9,C0501,2,413 9TH ST,364100,151500,212600,340000,2023-06-24,2006
39.01,9,C0502,2,413-15 9TH ST,313400,127700,185700,255000,2007-09-20,2006
39.01,9,C0503,2,413-15 9TH ST,337900,139600,198300,275000,2020-01-08,2006
39.01,9,C0504,2,413-15 9TH ST,352700,145500,207200,260000,2008-05-02,2006
39.01,9,C0505,2,413-15 9TH ST,189900,71300,118600,165000,2007-06-29,2006
39.01,9,C0601,2,413-15 9TH ST,380900,151500,229400,385000,2023-09-27,2006
39.01,9,C0602,2,413-15 9TH ST,317100,127700,189400,302000,2019-08-12,2006
39.01,9,C0603,2,413-15 9TH ST,338500,140200,198300,271000,2007-09-20,2006
39.01,9,C0604,2,413-15 9TH ST,352700,145500,207200,212000,2017-02-13,2006
39.01,11,,2,417 9TH ST,541500,276800,264700,1,2008-08-08,1898
39.01,12,,2,419 9TH ST,656300,265700,390600,315000,2017-11-30,1892
39.01,13,,4C,816-818 BERGENLINE AVE,1936700,1430000,506700,502500,2003-12-31,1910
39.01,13,T02,4A,816 BERGENLINE AVE,515400,0,515400,0,,0
39.01,14,,2,814 BERGENLINE AVE,617400,350800,266600,260000,2002-03-07,1898
39.01,15,,4A,800 BERGENLINE AVE,1560500,390000,1170500,999999,2023-08-15,1908
39.01,16,,2,428 8TH ST,530200,282500,247700,1,2022-08-23,1898
39.01,17,,2,424 8TH ST,895500,304700,590800,1,2024-05-29,1898
39.01,18,,2,422 8TH ST,506600,257700,248900,505000,2021-01-08,1898
39.01,19,,2,420 8TH ST,338500,188600,149900,425000,2022-11-28,1898
39.01,20,,2,418 8TH ST,303200,186000,117200,220000,2024-02-01,1898
39.01,21,,2,416 8TH ST,261000,186000,75000,305000,2024-12-13,1898
39.01,22,,2,414 8TH ST,403700,186000,217700,100000,2011-07-01,1898
39.01,23,,2,412 8TH ST,286000,186000,100000,100,2014-08-14,1898
39.01,24,,2,410 8TH ST,362200,186000,176200,98000,2004-01-23,1898
39.02,1,,4A,901 NEW YORK AVE,2447900,780000,1667900,1320000,2022-03-29,1910
39.02,2,,4C,903 NEW YORK AVE,3283400,1920000,1363400,725000,1994-05-10,1920
202,21,C0109,2,3315 PLEASANT AVE,190200,97500,92700,100330,2016-05-06,1930
202,21,C0110,2,3315-19 PLEASANT AVE,277400,151700,125700,0,2019-05-22,1930
202,21,C0111,2,3315 PLEASANT AVE,202400,104700,97700,1,2016-05-06,1930
202,21,C0112,2,3315-19 PLEASANT AVE,189700,97500,92200,32000,1999-12-21,1930
202,21,C0114,2,3315 PLEASANT AVE,310400,189600,120800,164000,2019-03-27,1930
202,21,C0115,2,3315 PLEASANT AVE,233900,124600,109300,1,2009-05-08,1930
202,21,C0116,2,3315 PLEASANT AVE,335800,187800,148000,277500,2021-07-13,1930
202,21,C0117,2,3315 PLEASANT AVE,282800,155300,127500,90000,2013-04-09,1930
202,21,C0118,2,3315 PLEASANT AVE,271700,148100,123600,0,,1930
202,21,C0119,2,3315-19 PLEASANT AVE,224200,140900,83300,0,,1930
202,21,C0120,2,3315-19 PLEASANT AVE,260300,140900,119400,195000,2019-12-02,1930
202,21,C0121,2,3315 PLEASANT AVE,282800,155300,127500,215000,2020-02-24,1930
202,21,C0122,2,3315 PLEASANT AVE,288800,158900,129900,245000,2017-11-13,1930
202,21,C0123,2,3315 PLEASANT AVE,322700,187800,134900,289999,2022-10-21,1930
202,21,C0201,2,3315 PLEASANT AVE,159500,90300,69200,39000,1991-08-01,1930
219,39,,2,519 38TH ST,650900,282500,368400,420000,2016-10-18,1913
219,40,,2,521 38TH ST,462600,267800,194800,150000,2022-10-27,1903
219,41,,2,523 38TH ST,539600,267800,271800,1,2007-07-26,1900
219,42,,2,525 38TH ST,476400,267800,208600,240000,2020-12-15,1883
219,43,,2,527 38TH ST,561300,297500,263800,145000,1994-10-21,1903
219,44,,2,529 38TH ST,886800,363100,523700,1,2019-08-08,1968
219,45,,2,533 38TH ST,554400,267800,286600,235000,2003-09-11,1903
219,46,,2,535 38TH ST,568600,297500,271100,220000,2002-04-25,1903
219,47,,2,537 38TH ST,1461800,301600,1160200,230000,2003-10-16,2014
219,48,C0101,2,539 38TH ST,461200,149000,312200,1,2010-05-25,2011
219,48,C0102,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0103,2,539 38TH ST,367400,112900,254500,1,2010-05-25,2011
219,48,C0104,2,539 38TH ST,521300,169000,352300,1,2010-05-25,2011
219,48,C0105,2,539 38TH ST,521300,169000,352300,1,2010-05-25,2011
219,48,C0106,2,539 38TH ST,367400,112900,254500,1,2010-05-25,2011
219,48,C0107,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0108,2,539 38TH ST,443600,142600,301000,1,2010-05-25,2011
219,48,C0201,2,539 38TH ST,461200,149000,312200,1,2010-05-25,2011
219,48,C0202,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0203,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0204,2,539 38TH ST,515500,169000,346500,1,2010-05-25,2011
219,48,C0205,2,539 38TH ST,515500,169000,346500,1,2010-05-25,2011
219,48,C0206,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0207,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0208,2,539 38TH ST,443600,142600,301000,1,2010-05-25,2011
219,48,C0301,2,539 38TH ST,461200,149000,312200,1,2010-05-25,2011
219,48,C0302,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0303,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0304,2,539 38TH ST,515500,169000,346500,1,2010-05-25,2011
219,48,C0305,2,539 38TH ST,515500,169000,346500,1,2010-05-25,2011
219,48,C0306,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0307,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0308,2,539 38TH ST,443600,142600,301000,1,2010-05-25,2011
219,48,C0401,2,539 38TH ST,461200,149000,312200,1,2010-05-25,2011
219,48,C0402,2,539 38TH ST,384700,112900,271800,1,2010-05-25,2011
219,48,C0403,2,539 38TH ST,384700,112900,271800,1,2010-05-25,2011
219,48,C0404,2,539 38TH ST,515500,169000,346500,1,2010-05-25,2011
219,48,C0405,2,539 38TH ST,515500,169000,346500,1,2010-05-25,2011
219,48,C0406,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0407,2,539 38TH ST,360000,112900,247100,1,2010-05-25,2011
219,48,C0408,2,539 38TH ST,443600,142600,301000,1,2010-05-25,2011
219,48,C0501,2,539 38TH ST,461200,149000,312200,1,2010-05-25,2011
240,14,,2,400 41ST ST,512700,307500,205200,0,,1700
240,15,,4A,4112 BERGENLINE AVE,717600,252000,465600,540000,2004-11-17,1908
240,16,,4A,4114 BERGENLINE AVE,435200,252000,183200,1,2020-10-19,0
240,17,,4A,4116-18 BERGENLINE AVE,827200,522000,305200,100,2006-11-14,1908
240,18,,4A,4120 BERGENLINE AVE,520000,252000,268000,100,2006-11-14,0
240,19,,4A,4122 BERGENLINE AVE,627800,324000,303800,400000,2001-08-16,0
240,20,,2,419 42ND ST,590400,267800,322600,450000,2018-10-12,1863
240,21,,2,417 42ND ST,683200,276800,406400,0,,1908
240,22,,4A,415 42ND ST,407200,312500,94700,1150000,2023-12-18,0
240,23,,2,413 42ND ST,651500,276800,374700,0,,1908
240,24.01,,4C,411 42ND ST,596700,360000,236700,450000,2022-03-11,1913
240,24.02,,4A,411 42ND ST REAR,562500,237500,325000,500000,2023-02-02,1900
240,25,,2,409 42ND ST,579300,307500,271800,600000,2023-07-22,1903
240,26,,4A,407 42ND ST,318700,312500,6200,246168,2021-07-19,0
240,27,,4A,405 42ND ST,318700,312500,6200,689271,2021-07-15,0
240,28,,4A,4121 NEW YORK AVE,1332000,800000,532000,175000,1996-01-16,0
241,1,,4A,4100 NEW YORK AVE,635700,288000,347700,280000,2002-04-05,1900
241,2,,4A,4102 NEW YORK AVE,629300,496000,133300,580000,2022-09-14,0
241,3,,2,4108 NEW YORK AVE,741700,206600,535100,1,2009-03-12,1890
241,4,,2,322 41ST ST,534200,276800,257400,163000,1999-02-26,1890
241,5,,2,320 41ST ST,965700,307500,658200,340000,2018-03-16,2001
241,6,,2,318 41ST ST,562600,276800,285800,485000,2021-07-12,1900
241,7,,2,316 41ST ST,756900,276800,480100,0,,1900
241,8,,2,314 41ST ST,730500,307500,423000,1,2009-05-15,1966
241,9,,2,312 41ST ST,688000,276800,411200,427000,2005-02-04,1893
241,10,,2,310 41ST ST,558300,273100,285200,1,2022-02-25,1900
241,11,,4C,308 41ST ST,1183600,360000,823600,620000,2017-01-20,1900
241,12.01,,4A,4101 PALISADE AVE,700000,325000,375000,650000,2021-11-30,1920
241,13.01,,2,4103 PALISADE AVE,507500,307500,200000,190000,2018-12-14,2022
241,14,,2,4105 PALISADE AVE,684700,276800,407900,400000,2022-03-03,1900
241,15,,2,4107 PALISADE AVE,636100,307500,328600,1,2014-12-06,1873
241,16,,4C,4110 NEW YORK AVE,806400,455000,351400,1425000,2017-08-14,1910
241,17,,2,325 42ND ST,673400,276800,396600,225000,2010-04-01,1910
241,18,,4C,323 42ND ST,1153600,420000,733600,1060000,2022-10-19,1923
241,19,,2,321 42ND ST,593800,276800,317000,10,2002-12-11,1900
241,20,,2,319 42ND ST,676000,276800,399200,505000,2006-10-11,1900
241,21,,2,317 42ND ST,712300,307500,404800,480000,2020-02-28,1910
241,22,,2,315 42ND ST,692200,307500,384700,1,2004-10-15,1910
241,23,,2,313 42ND ST,580500,307500,273000,90000,1995-04-26,1890
241,24,,4A,311 42ND ST,341700,250000,91700,0,,1923
241,25,,2,309 42ND ST,624100,276800,347300,250000,2020-05-04,1900
241,26,,2,4109 PALISADE AVE,839700,276800,562900,285000,2004-06-10,1910
254,17,,2,513 44TH ST,568700,262100,306600,1,2022-07-18,1913
254,18,,4C,509-511 44TH ST,2140400,360000,1780400,1,2019-11-13,2019
254,21,,4A,4321 BERGENLINE AVE,1551200,630000,921200,1600000,2017-05-15,1930
254,22,,4A,4325 BERGENLINE AVE,1060300,486000,574300,1249000,2021-12-14,0
254,23,,4A,4329 BERGENLINE AVE,804500,504000,300500,10,2024-06-18,0
254,24,,4B,4316 KENNEDY BLVD,594800,345000,249800,1,2024-08-28,0
254,25,,4A,4314 KENNEDY BLVD,754400,345000,409400,1,2024-08-28,0
254,26,,4A,4312 KENNEDY BLVD,1307300,360000,947300,1,2024-08-28,0
254,27,,4C,542 LINCOLN ST,1178100,420000,758100,1,2009-10-14,1930
254,28,,4C,540 LINCOLN ST,1292000,480000,812000,10,2009-10-14,0
254,29,,2,538 LINCOLN ST,745500,241000,504500,150000,1996-08-01,1970
254,30,,2,536 LINCOLN ST,692800,231000,461800,1,2019-01-27,1930
254,31,,2,534 LINCOLN ST,560900,221000,339900,454000,2018-03-26,1913
254,32,,2,532 LINCOLN ST,680900,241000,439900,725000,2023-12-04,1900
254,33,,2,530 LINCOLN ST,610000,330500,279500,305000,2017-07-11,1863
254,34,,4C,526 LINCOLN ST,907400,360000,547400,590000,2015-11-09,0
254,35,,4A,524B LINCOLN ST,152600,137500,15100,590000,2015-11-09,0
254,36,,2,522-524A LINCOLN ST,543700,315700,228000,120000,2014-12-18,1848
254,38,,2,520 LINCOLN ST,613300,241000,372300,85000,1992-12-16,1893
254,39,,2,518 LINCOLN ST,534400,241000,293400,1,2023-07-21,1900
254,40,,2,516 LINCOLN ST,616000,267800,348200,345000,2018-05-07,1930
254,41,,2,514 LINCOLN ST,539600,241000,298600,1,2020-12-15,1900
254,42,,4C,512 LINCOLN ST,960400,300000,660400,600000,2018-02-14,0
254,43,,2,510 LINCOLN ST,692600,267800,424800,575000,2006-05-30,1966
254,44,,2,508 LINCOLN ST,664200,267800,396400,0,,1966
254,45,,2,506 LINCOLN ST,275100,275000,100,275000,2024-04-26,1930
254,46,,4A,4313-15 BERGENLINE AVE,1331900,594000,737900,1,2022-01-31,1930
254,47,,4A,4317-19 BERGENLINE AVE,1073500,576000,497500,1,2019-12-10,1930
255,1.01,,2,4400 KENNEDY BLVD,1066900,359000,707900,1,2010-04-13,1982
255,1.02,,2,4406 KENNEDY BLVD,810100,367200,442900,1,1999-09-01,1913
255,5,,2,540 44TH ST,585000,251700,333300,10,2023-03-30,1913
255,6,,2,538 44TH ST,617200,251700,365500,325000,2014-03-06,1913
255,7,,2,536 44TH ST,522200,251700,270500,338000,2022-05-31,1913
255,8,,2,534 44TH ST,603300,251700,351600,10,2011-12-22,1913
255,9,,2,532 44TH ST,596800,251700,345100,270000,2010-05-05,1913
255,10,,2,530 44TH ST,594200,251700,342500,450000,2018-01-30,1913
255,11,,2,528 44TH ST,612000,251700,360300,168000,1998-10-09,1913
