address,lat,lon,display_name,status
1 GRAND ST,40.758855,-74.030428,"1, Grand Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
10 HENLEY PL,40.7670091,-74.0179666,"Henley Place, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
100 ETON ROW,40.7674881,-74.0171798,"Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
1000 AVENUE AT PORT IMPERIAL,40.774254,-74.011431,"1000, Avenue at Port Imperial, Weehawken, Hudson County, New Jersey, 07086, United States",ok
1055 BLVD EAST,40.7659779,-74.0220929,"Boulevard East, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
106 MAPLE ST,40.7674706,-74.0263613,"106, Maple Street, Weehawken, Hudson County, New Jersey, 07086, United States",ok
1200 AVENUE AT PORT IMPERIAL,40.7728849,-74.0126191,"Avenue at Port Imperial, Weehawken, Hudson County, New Jersey, 07086, United States",ok
124 HIGHPOINT AVE,40.7645154,-74.0282353,"124, Highpoint Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
136 HIGHPOINT AVE,40.7645499,-74.0283277,"136, Highpoint Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
150 HENLEY PL,40.766957,-74.0174484,"150, Henley Place, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
17 51ST ST,40.7801223,-74.0124952,"17, 51st Street, West New York, Hudson County, New Jersey, 07093, United States",ok
17 REGENCY PL,40.7698339,-74.0155164,"17, Regency Place, The Brownstones, Weehawken, Hudson County, New Jersey, 07086, United States",ok
1826 WILLOW AVE,40.759089,-74.0281339,"1826, Willow Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
191 HACKENSACK PLANK RD,,,,not_found
20 CAMBRIDGE WAY,40.7683891,-74.0166158,"Cambridge Way, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
20 WEST 19TH ST,40.7599096,-74.0313893,"West 19th Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
200 HIGHPOINT AVE,40.764837,-74.029095,"200, Highpoint Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
203-207 HACKENSACK PLANK RD,,,,not_found
