address,path_station,path_dist_mi,hblr_station,hblr_dist_mi,transit_station,transit_dist_mi
1 GRAND ST,Hoboken,1.62,Port Imperial,0.644,Port Imperial,0.644
10 HENLEY PL,Hoboken,2.186,Port Imperial,1.157,Port Imperial,1.157
100 ETON ROW,Hoboken,2.225,Port Imperial,1.2,Port Imperial,1.2
1000 AVENUE AT PORT IMPERIAL,Hoboken,2.748,Port Imperial,1.743,Port Imperial,1.743
1055 BLVD EAST,Hoboken,2.09,Port Imperial,1.047,Port Imperial,1.047
106 MAPLE ST,Hoboken,2.19,Port Imperial,1.152,Port Imperial,1.152
1200 AVENUE AT PORT IMPERIAL,Hoboken,2.64,Port Imperial,1.632,Port Imperial,1.632
124 HIGHPOINT AVE,Hoboken,1.992,Port Imperial,0.967,Port Imperial,0.967
136 HIGHPOINT AVE,Hoboken,1.995,Port Imperial,0.97,Port Imperial,0.97
150 HENLEY PL,Hoboken,2.187,Port Imperial,1.161,Port Imperial,1.161
17 51ST ST,Hoboken,3.129,Port Imperial,2.107,Port Imperial,2.107
17 REGENCY PL,Hoboken,2.401,Port Imperial,1.382,Port Imperial,1.382
1826 WILLOW AVE,Hoboken,1.619,Port Imperial,0.606,Port Imperial,0.606
20 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
20 WEST 19TH ST,Hoboken,1.701,Port Imperial,0.733,Port Imperial,0.733
200 HIGHPOINT AVE,Hoboken,2.019,Port Imperial,0.999,Port Imperial,0.999
21 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
22 50TH ST,Hoboken,3.078,Port Imperial,2.056,Port Imperial,2.056
22 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
221 JANE ST,Hoboken,2.184,Port Imperial,1.152,Port Imperial,1.152
227 DODD ST,Hoboken,2.145,Port Imperial,1.118,Port Imperial,1.118
23 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
24 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
24 ETON ROW,Hoboken,2.225,Port Imperial,1.2,Port Imperial,1.2
24 OXFORD LANDING,Hoboken,2.309,Port Imperial,1.288,Port Imperial,1.288
25 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
250 HENLEY PL,Hoboken,2.248,Port Imperial,1.226,Port Imperial,1.226
26 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
2600 PALISADE AVE,Hoboken,2.23,Port Imperial,1.204,Port Imperial,1.204
2614 PALISADE AVE,Hoboken,2.233,Port Imperial,1.207,Port Imperial,1.207
2716 PALISADE AVE,Hoboken,2.289,Port Imperial,1.258,Port Imperial,1.258
29-33 51ST ST,Hoboken,3.133,Port Imperial,2.109,Port Imperial,2.109
3 BONN PL,Hoboken,2.452,Port Imperial,1.415,Port Imperial,1.415
3 OXFORD LANDING,Hoboken,2.301,Port Imperial,1.281,Port Imperial,1.281
31 ETON ROW,Hoboken,2.225,Port Imperial,1.198,Port Imperial,1.198
32 ETON ROW,Hoboken,2.225,Port Imperial,1.2,Port Imperial,1.2
32 OXFORD LANDING,Hoboken,2.309,Port Imperial,1.288,Port Imperial,1.288
33 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
33 OXFORD LANDING,Hoboken,2.302,Port Imperial,1.282,Port Imperial,1.282
34 48TH ST,Hoboken,2.976,Port Imperial,1.948,Port Imperial,1.948
34-40 48TH ST,Hoboken,2.99,Port Imperial,1.961,Port Imperial,1.961
35 CAMBRIDGE WAY,Hoboken,2.292,Port Imperial,1.269,Port Imperial,1.269
35-39 51ST ST,Hoboken,3.133,Port Imperial,2.109,Port Imperial,2.109
36 REGENCY PL,Hoboken,2.431,Port Imperial,1.412,Port Imperial,1.412
3718 PARK AVE,Hoboken,2.525,Port Imperial,1.481,Port Imperial,1.481
3726 PARK AVE,Hoboken,2.527,Port Imperial,1.484,Port Imperial,1.484
385 PARK AVE,Hoboken,2.105,Port Imperial,1.062,Port Imperial,1.062
39 OXFORD LANDING,Hoboken,2.303,Port Imperial,1.282,Port Imperial,1.282
40 WEST 19TH ST,Hoboken,1.701,Port Imperial,0.733,Port Imperial,0.733
4110 PARK AVE,Hoboken,2.7,Port Imperial,1.658,Port Imperial,1.658
412 GREGORY AVE,Hoboken,1.849,Port Imperial,0.824,Port Imperial,0.824
414 GREGORY AVE,Hoboken,1.85,Port Imperial,0.825,Port Imperial,0.825
