"Picture Count","MLS #","Class","Type","Area","Price","Address","City","State","Zip","Status","Expiration Date","Tour/Open House - Start Date","Tour/Open House - Start Time","Tour/Open House - End Time","Tour/Open House - Event Type"
"4","260000250","CONDO-COOP","Condominium","JC, Heights","$290,000","44 SHERMAN AVE","JC, Heights","NJ","07307","ACTIVE","9/29/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"23","260005276","CONDO-COOP","Condominium","JC, Heights","$329,000","133 HOPKINS AVE","JC, Heights","NJ","07306-2547","ACTIVE","9/25/2026","4/12/2026","2:00 PM EDT","4:00 PM EDT","Open House"
"33","260003435","CONDO-COOP","Condominium","JC, Heights","$375,000","787 SUMMIT AVE","JC, Heights","NJ","07307","ACTIVE","5/1/2026","4/12/2026","11:00 AM EDT","1:00 PM EDT","Open House"
"12","260006126","CONDO-COOP","Condominium","JC, Heights","$379,000","198 BOWERS ST","JC, Heights","NJ","07307","ACTIVE","7/31/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"12","260006123","CONDO-COOP","Condominium","JC, Heights","$379,000","198 BOWERS ST","JC, Heights","NJ","07307","ACTIVE","7/31/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"12","260006123","CONDO-COOP","Condominium","JC, Heights","$379,000","198 BOWERS ST","JC, Heights","NJ","07307","ACTIVE","7/31/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"19","250025912","CONDO-COOP","Condominium","JC, Heights","$399,000","3505 KENNEDY BLVD","JC, Heights","NJ","07307","ACTIVE","4/30/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"18","260003612","CONDO-COOP","Condominium","JC, Heights","$440,000","118 LEONARD ST","JC, Heights","NJ","07307","ACTIVE","4/11/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"34","260006382","CONDO-COOP","Condominium","Hoboken","$450,000","551 OBSERVER HIGHWAY","Hoboken","NJ","07030","ACTIVE","7/15/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"34","260006382","CONDO-COOP","Condominium","Hoboken","$450,000","551 OBSERVER HIGHWAY","Hoboken","NJ","07030","ACTIVE","7/15/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
