block,n_sales,years_covered,cagr_price_per_sqft,median_price_per_sqft,median_dom,dom_trend,median_sale_to_list,median_assess_ratio,vol_trend,appreciation_score,score_block_cagr,score_dom_trend,score_sale_to_list_ratio,score_assess_delta,score_inventory_trend,block_rank
block_56_BLVD,12,2022-2025,15.78,593.0,47.0,-0.6428,1.0,,-0.7419,85.2,87.5,76.8,85.7,,91.1,1
complex_HENLEYONHUDSON,5,2023-2025,14.58,1054.0,18,-1.2637,0.9904,,0.4055,69.6,80.4,94.6,55.4,,33.9,2
complex_RIVAPOINTE,7,2022-2025,8.03,817.0,29,-0.3722,1.0,,-0.2877,68.0,66.1,62.5,85.7,,55.4,3
block_34 03_HARBOR,20,2022-2025,9.46,750.0,13.5,-0.1243,1.0,1.3924,0.4418,66.2,73.2,51.8,85.7,81.2,30.4,4
zip_07086,60,2022-2026,18.76,1022.0,21.0,-0.1412,0.9946,1.097,-0.3365,64.2,91.1,55.4,58.9,31.2,62.5,5
block_29_PALISADE,8,2022-2024,-0.46,593.0,27.5,-1.5315,0.9974,,-1.9459,63.8,19.6,98.2,69.6,,98.2,6
block_34_HARBOR,7,2021-2024,15.46,762.0,25,-0.9163,0.9862,,0.9163,62.8,83.9,87.5,48.2,,7.1,7
block_16_PARK,5,2022-2023,28.57,603.0,14,0.9628,0.9882,,-0.2877,58.7,98.2,8.9,51.8,,55.4,8
block_45 01_HENLEY,7,2022-2023,25.19,1225.0,58,0.2022,0.9714,,-0.4055,57.7,94.6,26.8,26.8,,66.1,9
block_34.03_HARBOR,11,2022-2026,2.37,636.0,19,0.0136,1.0,,-0.5596,54.3,37.5,33.9,85.7,,73.2,10
block_45.01_CAMBRIDGE,8,2023-2025,-0.13,683.0,26.0,-0.681,1.0,,0.5108,52.9,26.8,80.4,85.7,,25.0,11
block_53_BLVD,11,2022-2025,6.87,339.0,59,-0.7993,0.9773,,0.6931,52.2,58.9,83.9,37.5,,16.1,12
block_26_GREGORY,55,2022-2026,5.18,532.0,28,-0.092,0.9808,1.2407,-0.4818,51.3,44.6,44.6,41.1,68.8,69.6,13
block_6401_AVENUE,6,2022-2025,-0.28,873.0,23.5,-1.0022,0.9704,,-0.6931,49.6,23.2,91.1,23.2,,82.1,14
block_45_HENLEY,5,2022-2024,8.01,880.0,19,-0.6306,0.9735,,0.6931,49.3,62.5,73.2,30.4,,16.1,15
block_34 0003_HARBOR,8,2022-2024,-1.6,630.0,50.5,0.2326,1.001,,-0.6931,48.7,16.1,23.2,98.2,,82.1,16
block_30_HACKENSACK,9,2022-2026,3.27,570.0,13,0.7691,0.9956,1.1883,-0.6931,48.1,41.1,12.5,62.5,56.2,82.1,17
block_65_51ST,12,2022-2025,6.09,470.0,38.0,0.08,0.9754,,-0.6931,47.9,51.8,30.4,33.9,,82.1,18
block_46_PARK,14,2022-2025,-2.28,323.0,29.0,-0.3995,1.0,,0.1823,46.1,8.9,66.1,85.7,,41.1,19
block_9,5,2022-2024,8.06,525.0,25,1.1843,0.9599,1.4422,-0.2877,45.4,69.6,5.4,5.4,93.8,55.4,20
complex_AVORA,6,2022-2024,11.87,1054.0,97.5,-0.4891,0.9643,0.7674,0.9163,41.5,76.8,69.6,12.5,6.2,7.1,21
block_60_BLVD,7,2022-2026,6.02,796.0,30,-0.1178,0.9675,,0.5108,37.4,48.2,48.2,19.6,,25.0,22
block_65_BLVD,6,2022-2025,-4.0,372.0,33.0,-0.0548,0.9975,,0.0,37.3,5.4,41.1,73.2,,48.2,23
block_64_AVENUE,11,2022-2025,2.19,834.0,17,-0.3021,0.9842,,1.0986,36.7,33.9,58.9,44.6,,1.8,24
complex_AVENUECOLLECTION,7,2022-2025,6.86,1213.0,104,-0.0332,0.9359,,0.2231,35.4,55.4,37.5,1.8,,37.5,25
block_64.01_AVENUE,68,2022-2026,1.53,876.0,36.5,0.233,0.9628,0.8885,-1.0986,31.8,30.4,19.6,8.9,18.8,94.6,26
block_64 01_AVENUE,17,2022-2026,-2.0,837.0,37,0.5871,0.9673,1.1208,0.1178,23.4,12.5,16.1,16.1,43.8,44.6,27
block_45.01,5,2024-2025,-8.1,839.0,10,1.404,0.9971,,0.6931,19.4,1.8,1.8,66.1,,16.1,28
