mls_id,address,unit_number,full_address,zip,area,block,block_raw,lot,complex_name,property_type,class,status,year_built,floor_number,bedrooms,full_baths,half_baths,total_baths,sqft,sold_price,list_price,orig_list_price,price_per_sqft,sale_to_list,orig_to_sold_pct,taxes,hoa_monthly,dom,closing_date,listing_date,closing_year,closing_quarter,is_distressed,is_short_sale,is_bank_owned,lat,lon,between,remarks,parking,parking_conf,outdoor,outdoor_type,outdoor_conf,walk_score,transit_score,bike_score,path_station,path_dist_mi,hblr_station,hblr_dist_mi,transit_station,transit_dist_mi,modiiv_assessed,assessed_value,assess_ratio
220006700,29-33 51ST ST,B,29-33 51ST ST B,07086,Weehawken,block_65_51ST,00065,00004,The Dakota,Condominium,CONDO-COOP,SOLD,,1,2,1,0,1.0,897,125000.0,159000.0,,139.35,0.7862,,5417.0,340.0,147,2023-01-20,2022-04-18,2023,2023-Q1,False,False,False,40.7802355,-74.0128642,off Blvd East,"Location, location, location!!! This large 2BR apartment is conveniently located 1 block from Boulevard East, restaurants, and supermarket. Offering 2 large bedrooms, formal dining and living areas. 15 mins commute to NYC via bus. Walking distance to the ferry and light rail. Heat, hot water, water and sewer are included as part of the HOA fees. Great investment opportunity! Won’t last!",False,low,False,,low,,,,Hoboken,3.133,Port Imperial,2.109,Port Imperial,2.109,,,
240023192,3726 PARK AVE,B2,3726 PARK AVE B2,07086,Weehawken,zip_07086,,,Calhoun Hall,Cooperative,CONDO-COOP,SOLD,,1,1,1,0,1.0,443,130000.0,130000.0,,293.45,1.0,,,632.0,72,2025-07-14,2024-12-03,2025,2025-Q3,False,False,False,40.7723039,-74.0216781,38 St & 39th St,"Discover this 1 BR/1 BA co-op ready for your finishing touches to call home!  Building has laundry room in basement with coin operated washers/dryers. HOA includes heat, hot water, taxes, sewage; you have a separate utility bill for gas & electric. Acme next door, along with a parking lot across the street to park your car. All you need is a Weehawken parking permit.  Blvd East bus nearby for commute to NYC. Cats are allowed in the building.",True,medium,False,,low,,,,Hoboken,2.527,Port Imperial,1.484,Port Imperial,1.484,,,
250001634,3726 PARK AVE,A1,3726 PARK AVE A1,07086,Weehawken,block_46_PARK,00046,00004,,Cooperative,CONDO-COOP,SOLD,,1,1,1,0,1.0,500,157000.0,157000.0,,314.0,1.0,,,775.0,13,2025-08-12,2025-01-24,2025,2025-Q3,False,False,False,40.7723039,-74.0216781,37th St. and 39th St.,"This beautifully renovated, accessible COOP in the heart of Weehawken offers a perfect blend of modern updates and affordable living. With no stairs to navigate, it’s ideal for those seeking easy access and comfort. The bright, open layout features a sleek, well-appointed kitchen, making it a cozy yet functional home. Located just steps from public transit, commuting to NYC is quick and convenient, and nearby shopping, dining, and entertainment make everything you need easily accessible. All of this comes at an incredibly affordable price, making it an unbeatable option in a prime location. Don’t miss out on this charming, move-in-ready unit!",False,low,False,,low,,,,Hoboken,2.527,Port Imperial,1.484,Port Imperial,1.484,,,
210024544,875 BLVD EAST,6,875 BLVD EAST 6,07086,Weehawken,zip_07086,,,,Cooperative,CONDO-COOP,SOLD,,1,1,1,0,1.0,725,160000.0,175000.0,,220.69,0.9143,,,1018.0,173,2022-07-30,2021-10-28,2022,2022-Q3,False,False,False,40.7671744,-74.0216355,Columbia Terrace & Clifton Terrace,"***WATCH THE VIDEO TOUR***  A million-dollar location for less than a fraction of the price*** One bedroom Co-Op apartment right on 875 Blvd East located on the 1st Floor, spacious and perfect spot for NYC commuters featuring over 9 feet of high ceilings, hardwood flooring throughout, kitchen with recessed lighting inviting a great floor plan, extra free storage unit with elevator building, conference room in lobby, laundry on site, courtyard, bike rack, pets friendly, NYC & Hoboken Bus Stop right outside the front door, nearby to shuttle, light rail station, NYC ferry terminal, shopping and much more.***  An opportunity to own one of the lowest competitive price point Co-op apartments in Weehawken Hudson County New Jersey in today market call now for a private tour***  Co-op approval & Financial verification is required by River Cliff Hall Board*** Please see all attached documents for qualification, requirements, and regulation. 3 months nonrefundable reserved is required.",False,low,False,,low,,,,Hoboken,2.174,Port Imperial,1.131,Port Imperial,1.131,,,
210003088,17 51ST ST,42,17 51ST ST 42,07086,Weehawken,block_65_51ST,00065,00006,Gentry Hall Coopertive,Cooperative,CONDO-COOP,SOLD,,4,1,1,0,1.0,790,165000.0,175000.0,,208.86,0.9429,,,749.0,73,2021-07-08,2021-02-05,2021,2021-Q3,False,False,False,40.7801223,-74.0124952,off Blvd East,"Spacious 1 Bedroom Coop Residence in Gentry Hall, the beautiful Pre-war Mid-rise located just off of Blvd East offering the best commute to Manhattan via bus or jitney vans. This comfortable 790 sq ft apartment featuring high ceilings and hardwood floors, needs upgrades and modernization to create a truly special home. Low Maintenance includes heat, hot water, water, sewer, general building maint & underlying mortgage & taxes. There's laundry on the premises and a shared brick courtyard. Act fast as this one won't last!",False,low,False,,low,,,,Hoboken,3.129,Port Imperial,2.107,Port Imperial,2.107,,,
230018837,3726 PARK AVE,C4,3726 PARK AVE C4,07086,Weehawken,block_46_PARK,00046,00004,Calhoun Hall,Cooperative,CONDO-COOP,SOLD,,2,1,1,0,1.0,415,170000.0,169000.0,,409.64,1.0059,,,527.0,2,2024-06-21,2023-11-08,2024,2024-Q2,False,False,False,40.7723039,-74.0216781,37th & 38th Streets,"Why rent when you can own this affordable 1 BR/1 BA co-op in the heart of Weehawken, NJ on Park Avenue! This fixer upper with high ceilings is just steps away from everything you need. Supermarket, Restaurants, Shops, Parks and Bus to Manhattan are just outside the door of this Pre War Brick Building with on-site Super and laundry room. Come enjoy the world class amenities that Weehawken offers its residents. Spend this summer poolside at Weehawken's state of the art waterfront park with Manhattan as your backdrop or take an evening stroll along the Boulevard and bask in the shimmering lights of the worlds greatest skyline! The low monthly fee includes taxes, maintenance, water and heat. Don’t miss out on the best deal in Weehawken! This property is being sold “as is”.",False,low,False,,low,,,,Hoboken,2.527,Port Imperial,1.484,Port Imperial,1.484,,,
240019311,3726 PARK AVE,C5,3726 PARK AVE C5,07086,Weehawken,block_46_PARK,00046,00004,Calhoun Hall,Cooperative,CONDO-COOP,SOLD,,2,1,1,0,1.0,443,177500.0,185000.0,,400.68,0.9595,,,619.0,35,2024-12-11,2024-09-30,2024,2024-Q4,False,False,False,40.7723039,-74.0216781,38th and 39th,"Welcome to your commuter’s dream home at 3726 Park Ave Cooperative, just 14 minutes from Port Authority, New York! Residence C5 is a fully renovated 1BR/1BA, where modern design meets classic charm, and convenience blends with comfort. With a bright southeast exposure, natural light pours through oversized windows, creating a warm and inviting atmosphere—a perfect escape from the city. The kitchen, living room, and bathroom feature contemporary finishes, newer appliances, and upgraded lighting, all from 2017, with the stove replaced in 2021. The spacious bedroom retains its original hardwood flooring, evoking timeless elegance. Calhoun Hall is located in the heart of Weehawken, this building offers unbeatable proximity to major NJ/NYC transportation, highways, shops, restaurants, scenic parks, and more! This unit is perfectly situated, just blocks away from free shuttle service to the ferry, with building amenities that include a washer/dryer room and the option for residential parking in the adjacent plaza. Parking is available for residents in the parking lot closest to the building fort hose who display free parking pass.  Don’t miss this incredible opportunity to own a co-op in one of Hudson County’s most sought-after cities! Schedule your private tour today and discover your next dream home.",True,medium,False,,low,,,,Hoboken,2.527,Port Imperial,1.484,Port Imperial,1.484,,,
220020347,3718 PARK AVE,D2,3718 PARK AVE D2,07086,Weehawken,block_46_PARK,00046,00004,Calhoun Hall,Cooperative,CONDO-COOP,SOLD,,,1,1,0,1.0,591,185000.0,185000.0,,313.03,1.0,,,655.0,48,2023-03-20,2022-11-18,2023,2023-Q1,False,False,False,40.7722646,-74.0216969,37th & 38th Street,"Come see this spacious one bedroom one bath apartment ForSale in desirable Weehawken. Why rent when you can own this spacious apartment right on Park Avenue close to everything including restaurants, parks, dry cleaners and a new supermarket steps away. This turn key apartment  is ready to be called home. Enjoy the low monthly maintenance of $655 pays for the real estate taxes, heat, hot water, common area maintenance, snow and trash removal as well as building insurance. Parking is also available for residents in the parking lot closest to the building fort hose who display the free parking pass. Come see this. Wont last.",True,medium,False,,low,,,,Hoboken,2.525,Port Imperial,1.481,Port Imperial,1.481,,,
240022257,3726 PARK AVE,D5,3726 PARK AVE D5,07086,Weehawken,block_46_PARK,46,4,,Cooperative,CONDO-COOP,SOLD,,3,1,1,0,1.0,443,190000.0,179000.0,,428.89,1.0615,,,619.0,12,2025-06-12,2024-11-14,2025,2025-Q2,False,False,False,40.7723039,-74.0216781,37th & 38th,"An amazing opportunity to own a one-bedroom apartment in charming Weehawken; this co-op building offers an unbeatable location, within moments to NJ/ NYC transportation and shuttle service to the ferry. One block from Blvd East with amazing views of NYC Skyline, the Hudson River and lovely parks. The monthly fee includes taxes, heat and water; owner only has PSE&G utility bill for electricity and stove gas. Building has laundry in basement and a full time Super.  Parking is available for residents in the parking lot closest to the building fort those who display Weehawken resident parking pass.",True,medium,False,,low,,,,Hoboken,2.527,Port Imperial,1.484,Port Imperial,1.484,,,
210017501,875 BLVD EAST,31,875 BLVD EAST 31,07086,Weehawken,block_53_BLVD,00053,00010,Rivercliff Hall Coop,Cooperative,CONDO-COOP,SOLD,,4,1,1,0,1.0,700,195000.0,199999.0,,278.57,0.975,,,873.0,225,2022-05-06,2021-07-21,2022,2022-Q2,False,False,False,40.7671744,-74.0216355,Clifton Ter and Columbia Ter,"Immaculate and fully renovated bright 1 bedroom co-op at the Rivercliff Hall with spacious floorplan with cozy living room, fully renovated open kitchen with new appliances, good sized bedroom, large newly renovated full bath, hardwood floors and good size closets. The building includes a private garden courtyard, community room, bike rack and on-site laundry facilities. Excellent location for commuters on Blvd East, NYC transportation at doorstep. Schedule a showing today.",False,low,False,,low,,,,Hoboken,2.174,Port Imperial,1.131,Port Imperial,1.131,,,
